"","data_test.Respondent.ID","data_test.Product","predict_model_log_1"
"1",4300,"Deodorant B",0
"2",4301,"Deodorant B",0
"3",4302,"Deodorant B",0
"4",4303,"Deodorant B",0
"5",4304,"Deodorant B",0
"6",4305,"Deodorant B",0
"7",4306,"Deodorant B",0
"8",4307,"Deodorant B",0
"9",4308,"Deodorant B",0
"10",4309,"Deodorant B",0
"11",4310,"Deodorant B",0
"12",4311,"Deodorant B",0
"13",4312,"Deodorant B",0
"14",4313,"Deodorant B",0
"15",4314,"Deodorant B",1
"16",4315,"Deodorant B",0
"17",4316,"Deodorant B",0
"18",4317,"Deodorant B",0
"19",4318,"Deodorant B",0
"20",4319,"Deodorant B",0
"21",4320,"Deodorant B",0
"22",4321,"Deodorant B",1
"23",4322,"Deodorant B",1
"24",4323,"Deodorant B",0
"25",4324,"Deodorant B",0
"26",4325,"Deodorant B",0
"27",4326,"Deodorant B",0
"28",4327,"Deodorant B",1
"29",4328,"Deodorant B",0
"30",4329,"Deodorant B",0
"31",4330,"Deodorant B",0
"32",4331,"Deodorant B",0
"33",4332,"Deodorant B",1
"34",4333,"Deodorant B",0
"35",4334,"Deodorant B",1
"36",4335,"Deodorant B",0
"37",4336,"Deodorant B",0
"38",4337,"Deodorant B",0
"39",4338,"Deodorant B",0
"40",4339,"Deodorant B",1
"41",4340,"Deodorant B",0
"42",4341,"Deodorant B",0
"43",4342,"Deodorant B",0
"44",4343,"Deodorant B",1
"45",4344,"Deodorant B",0
"46",4345,"Deodorant B",0
"47",4346,"Deodorant B",0
"48",4347,"Deodorant B",0
"49",4348,"Deodorant B",0
"50",4349,"Deodorant B",0
"51",4350,"Deodorant B",1
"52",4351,"Deodorant B",0
"53",4352,"Deodorant B",0
"54",4353,"Deodorant B",0
"55",4354,"Deodorant B",0
"56",4355,"Deodorant B",1
"57",4356,"Deodorant B",1
"58",4357,"Deodorant B",0
"59",4358,"Deodorant B",0
"60",4359,"Deodorant B",0
"61",4360,"Deodorant B",0
"62",4361,"Deodorant B",0
"63",4362,"Deodorant B",0
"64",4363,"Deodorant B",0
"65",4364,"Deodorant B",0
"66",4365,"Deodorant B",0
"67",4366,"Deodorant B",0
"68",4367,"Deodorant B",0
"69",4368,"Deodorant B",0
"70",4369,"Deodorant B",0
"71",4370,"Deodorant B",0
"72",4371,"Deodorant B",1
"73",4372,"Deodorant B",0
"74",4373,"Deodorant B",0
"75",4374,"Deodorant B",0
"76",4375,"Deodorant B",0
"77",4376,"Deodorant B",1
"78",4377,"Deodorant B",1
"79",4378,"Deodorant B",0
"80",4379,"Deodorant B",0
"81",4380,"Deodorant B",0
"82",4381,"Deodorant B",0
"83",4382,"Deodorant B",0
"84",4383,"Deodorant B",0
"85",4384,"Deodorant B",1
"86",4385,"Deodorant B",0
"87",4386,"Deodorant B",0
"88",4387,"Deodorant B",0
"89",4388,"Deodorant B",0
"90",4389,"Deodorant B",0
"91",4390,"Deodorant B",0
"92",4391,"Deodorant B",0
"93",4392,"Deodorant B",0
"94",4393,"Deodorant B",0
"95",4394,"Deodorant B",0
"96",4395,"Deodorant B",0
"97",4396,"Deodorant B",1
"98",4397,"Deodorant B",0
"99",4398,"Deodorant B",1
"100",4399,"Deodorant B",0
"101",4400,"Deodorant B",1
"102",4401,"Deodorant B",0
"103",4402,"Deodorant B",0
"104",4403,"Deodorant B",0
"105",4404,"Deodorant B",0
"106",4405,"Deodorant B",1
"107",4406,"Deodorant B",0
"108",4407,"Deodorant B",1
"109",4408,"Deodorant B",0
"110",4409,"Deodorant B",0
"111",4410,"Deodorant B",0
"112",4411,"Deodorant B",0
"113",4412,"Deodorant B",0
"114",4413,"Deodorant B",0
"115",4414,"Deodorant B",0
"116",4415,"Deodorant B",0
"117",4416,"Deodorant B",1
"118",4417,"Deodorant B",0
"119",4418,"Deodorant B",0
"120",4419,"Deodorant B",0
"121",4420,"Deodorant B",0
"122",4421,"Deodorant B",1
"123",4422,"Deodorant B",0
"124",4423,"Deodorant B",0
"125",4424,"Deodorant B",1
"126",4425,"Deodorant B",1
"127",4426,"Deodorant B",0
"128",4427,"Deodorant B",0
"129",4428,"Deodorant B",0
"130",4429,"Deodorant B",0
"131",4430,"Deodorant B",0
"132",4431,"Deodorant B",0
"133",4432,"Deodorant B",0
"134",4433,"Deodorant B",0
"135",4434,"Deodorant B",0
"136",4435,"Deodorant B",0
"137",4436,"Deodorant B",0
"138",4437,"Deodorant B",0
