PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Ticket,Fare,Embarked,Cabin Category,Cabin Count,SurName,Title,Name,Ticket Group,Family Group
546,0,1,male,64,0,0,693,26,S,,,Nicholson,Mr,Arthur Ernest,,
873,0,1,male,33,0,0,695,5,S,B,3,Carlsson,Mr,Frans Olof,,Family
75,1,3,male,32,0,0,1601,56.4958,S,,,Bing,Mr,Lee,Ticket,
839,1,3,male,32,0,0,1601,56.4958,S,,,Chip,Mr,Chang,Ticket,
644,1,3,male,,0,0,1601,56.4958,S,,,Foo,Mr,Choong,Ticket,
693,1,3,male,,0,0,1601,56.4958,S,,,Lam,Mr,Ali,Ticket,Family
827,0,3,male,,0,0,1601,56.4958,S,,,Lam,Mr,Len,Ticket,Family
510,1,3,male,26,0,0,1601,56.4958,S,,,Lang,Mr,Fang,Ticket,
170,0,3,male,28,0,0,1601,56.4958,S,,,Ling,Mr,Lee,Ticket,
427,1,2,female,28,1,0,2003,26,S,,,Clarke,Mrs,Charles V (Ada Maria Winfield),,
835,0,3,male,18,0,0,2223,8.3,S,,,Allum,Mr,Owen George,,
554,1,3,male,22,0,0,2620,7.225,C,,,Leeni,Mr,"Fahim (""Philip Zenni"")",,
662,0,3,male,40,0,0,2623,7.225,C,,,Badt,Mr,Mohamed,,
523,0,3,male,,0,0,2624,7.225,C,,,Lahoud,Mr,Sarkis,,
804,1,3,male,0.42,0,1,2625,8.5167,C,,,Thomas,Master,Assad Alexander,,
368,1,3,female,,0,0,2626,7.2292,C,,,Moussa,Mrs,(Mantoura Boulos),,
115,0,3,female,17,0,0,2627,14.4583,C,,,Attalah,Miss,Malake,Ticket,Family
496,0,3,male,,0,0,2627,14.4583,C,,,Yousseff,Mr,Gerious,Ticket,
204,0,3,male,45.5,0,0,2628,7.225,C,,,Youseff,Mr,Gerious,,
860,0,3,male,,0,0,2629,7.2292,C,,,Razi,Mr,Raihed,,
27,0,3,male,,0,0,2631,7.225,C,,,Emir,Mr,Farred Chehab,,
532,0,3,male,,0,0,2641,7.2292,C,,,Toufik,Mr,Nakli,,
355,0,3,male,,0,0,2647,7.225,C,,,Yousif,Mr,Wazli,,
379,0,3,male,20,0,0,2648,4.0125,C,,,Betros,Mr,Tannous,,
20,1,3,female,,0,0,2649,7.225,C,,,Masselmani,Mrs,Fatima,,
256,1,3,female,29,0,2,2650,15.2458,C,,,Touma,Mrs,Darwis (Hanne Youssef Razi),,
40,1,3,female,14,1,0,2651,11.2417,C,,,Nicola-Yarred,Miss,Jamila,Ticket,Family
126,1,3,male,12,1,0,2651,11.2417,C,,,Nicola-Yarred,Master,Elias,Ticket,Family
382,1,3,female,1,0,2,2653,15.7417,C,,,Nakid,Miss,"Maria (""Mary"")",Ticket,Family
